sku,forecast,actual,volume,inventory_on_hand,safety_stock,lead_time_days,supplier_otif,demand_volatility_cv,margin
SKU-01036,347,280,436,24,907,52,0.804,0.234,4.73
SKU-01037,2273,2727,1899,693,213,37,0.694,0.179,1.58
SKU-01038,1621,1715,1502,2285,388,46,0.685,0.095,10.86
SKU-01039,519,438,421,106,407,38,0.892,0.308,9.87
SKU-01040,667,765,731,775,483,23,0.958,0.169,4.65
SKU-01041,345,375,323,4818,780,35,0.691,0.408,5.91
SKU-01042,914,815,824,2423,651,38,0.794,0.087,10.5
SKU-01043,583,568,662,3917,843,46,0.835,0.404,4.99
SKU-01044,188,182,165,1910,1172,47,0.986,0.042,14.62
SKU-01045,187,219,202,1750,933,43,0.658,0.025,3.74
SKU-01046,1675,1022,1515,306,192,14,0.655,0.205,9.44
SKU-01047,230,262,274,1106,1169,24,0.913,0.34,1.39
SKU-01048,1606,2100,1825,4135,1007,21,0.7,0.071,2.21
SKU-01049,1061,759,1003,4988,226,26,0.937,0.314,5.32
SKU-01050,1197,1069,1227,211,479,5,0.714,0.235,3.76
SKU-01051,648,1035,757,1562,973,51,0.651,0.087,14.15
SKU-01052,956,1110,888,1700,1080,14,0.792,0.151,4.27
SKU-01053,1205,1495,1381,1388,960,8,0.89,0.199,2.17
SKU-01054,854,927,718,894,1141,18,0.918,0.051,14.21
SKU-01055,263,114,397,652,559,59,0.838,0.088,14.65
SKU-01056,108,134,85,1075,754,53,0.928,0.191,9.78
SKU-01057,1229,1239,1271,471,851,21,0.742,0.127,2.23
SKU-01058,1808,2072,1848,1828,769,15,0.732,0.064,3.01
SKU-01059,905,576,1050,4983,937,9,0.705,0.172,13.8
SKU-01060,111,95,115,2622,430,3,0.984,0.073,3.82
SKU-01061,1017,1153,1206,4598,222,40,0.774,0.391,13.17
SKU-01062,1580,1173,1736,65,201,26,0.871,0.344,11.06
SKU-01063,1263,686,1916,3027,945,48,0.788,0.309,7.7
SKU-01064,865,979,767,4638,1038,38,0.924,0.182,3.06
SKU-01065,1061,1068,1073,1449,980,54,0.733,0.301,9.0
SKU-01066,490,512,815,4709,716,14,0.652,0.089,13.13
SKU-01067,1125,917,1155,1904,1126,24,0.876,0.222,11.38
SKU-01068,760,831,730,3998,591,9,0.762,0.176,10.43
SKU-01069,513,526,453,4560,196,24,0.925,0.293,9.03
SKU-01070,1033,994,1158,1829,339,29,0.684,0.054,8.23
SKU-01071,866,1134,870,3265,675,26,0.906,0.343,14.39
SKU-01072,578,499,716,2427,412,45,0.968,0.112,10.65
SKU-01073,1344,1225,1346,2894,889,35,0.794,0.308,10.75
SKU-01074,894,664,854,4793,628,19,0.985,0.263,9.3
SKU-01075,1168,1234,1239,4423,963,24,0.767,0.189,12.96
SKU-01076,404,466,309,1290,545,45,0.968,0.339,11.33
SKU-01077,919,1162,930,1982,825,28,0.887,0.032,2.31
SKU-01078,389,271,509,1128,973,6,0.709,0.307,12.8
SKU-01079,1394,1136,1531,3940,534,13,0.849,0.412,7.58
SKU-01080,767,865,736,3590,908,58,0.8,0.362,4.04
SKU-01081,1867,1655,1555,3661,942,10,0.893,0.302,10.43
SKU-01082,728,818,586,248,740,29,0.726,0.118,14.72
SKU-01083,1361,1256,1730,3037,1008,32,0.913,0.421,0.94
SKU-01084,814,859,786,3777,120,11,0.736,0.387,3.44
SKU-01085,1826,1864,1962,4400,883,8,0.741,0.262,2.29
SKU-01086,1266,1129,1109,2403,622,27,0.91,0.38,3.02
SKU-01087,2030,1915,1963,195,1174,14,0.894,0.156,8.7
SKU-01088,1571,1620,1618,2701,925,17,0.67,0.037,7.41
SKU-01089,686,1016,634,2030,438,28,0.901,0.413,5.76
SKU-01090,2072,2088,1949,4790,306,49,0.653,0.442,2.71
SKU-01091,904,913,971,3298,1032,15,0.662,0.084,4.83
SKU-01092,401,281,455,4319,1033,9,0.658,0.039,6.22
SKU-01093,111,111,118,2295,493,50,0.938,0.268,2.19
SKU-01094,1724,1685,1895,2147,292,37,0.967,0.341,8.8
SKU-01095,516,424,511,4957,817,8,0.857,0.167,3.69
SKU-01096,251,312,344,4789,318,52,0.965,0.063,7.72
SKU-01097,1050,1232,961,2246,161,17,0.658,0.176,14.88
SKU-01098,340,368,301,3638,860,35,0.943,0.154,11.35
SKU-01099,813,564,678,1116,177,35,0.844,0.298,10.94
SKU-01100,492,583,512,3729,162,12,0.79,0.212,13.14
SKU-01101,366,407,343,3844,494,47,0.758,0.106,2.98
SKU-01102,1309,1302,1104,1413,392,50,0.907,0.215,4.8
SKU-01103,925,889,1061,4427,542,21,0.925,0.163,7.94
SKU-01104,1534,1290,1571,2264,995,35,0.874,0.105,11.38
SKU-01105,656,751,825,1732,860,21,0.676,0.061,0.52
SKU-01106,1044,1108,1002,4455,1193,3,0.701,0.11,1.75
SKU-01107,1672,1790,1660,2041,929,16,0.729,0.243,10.46
SKU-01108,362,398,395,2162,554,37,0.715,0.446,4.56
SKU-01109,553,495,543,3898,52,5,0.678,0.192,4.74
SKU-01110,1206,1278,1223,336,53,57,0.958,0.402,1.36
SKU-01111,1645,1287,1803,674,1119,16,0.651,0.102,4.84
SKU-01112,1389,1725,1690,920,253,55,0.826,0.298,4.43
SKU-01113,1441,1204,1346,640,901,4,0.962,0.41,10.4
SKU-01114,300,295,328,2177,477,6,0.775,0.316,10.03
SKU-01115,1797,1752,1657,4476,354,24,0.949,0.371,14.42
SKU-01116,102,51,112,3586,1059,47,0.73,0.108,11.05
SKU-01117,80,69,118,1680,79,33,0.833,0.079,8.86
SKU-01118,1613,1587,1558,202,985,53,0.984,0.151,3.99
SKU-01119,1335,1491,1247,392,166,8,0.789,0.159,14.67
SKU-01120,2003,1848,1995,4972,375,14,0.75,0.308,4.86
SKU-01121,1332,1282,1441,3359,608,47,0.858,0.358,1.68
SKU-01122,2048,1857,1660,4109,534,10,0.684,0.323,9.48
SKU-01123,286,279,332,705,1162,43,0.797,0.265,3.1
SKU-01124,1777,1673,1493,4743,1164,36,0.98,0.209,11.89
SKU-01125,355,340,517,650,1040,5,0.658,0.367,7.68
SKU-01126,252,152,303,4402,976,57,0.915,0.263,3.91
SKU-01127,1977,2266,1876,883,472,8,0.766,0.41,8.45
SKU-01128,1703,1767,1658,890,984,52,0.954,0.081,9.8
SKU-01129,1449,1201,1691,386,739,29,0.877,0.024,14.6
SKU-01130,2560,3003,1989,2547,1119,46,0.758,0.389,1.51
SKU-01131,250,240,239,3446,1135,10,0.694,0.193,7.86
SKU-01132,1175,927,1335,3254,176,37,0.759,0.078,1.7
SKU-01133,990,751,1073,2316,242,20,0.881,0.217,6.68
SKU-01134,568,609,593,4184,872,3,0.695,0.404,7.4
SKU-01135,123,98,100,1795,894,53,0.911,0.374,5.79
SKU-01136,580,199,776,3735,480,32,0.802,0.279,6.54
SKU-01137,342,270,357,3668,977,12,0.752,0.07,8.27
SKU-01138,578,568,622,4439,373,37,0.805,0.069,13.28
SKU-01139,1535,1578,1697,813,370,55,0.655,0.362,8.16
SKU-01140,398,393,446,4872,685,50,0.825,0.026,5.33
SKU-01141,2172,2700,1773,1603,950,27,0.978,0.146,4.74
SKU-01142,1128,1113,1150,3547,374,21,0.774,0.206,10.08
SKU-01143,665,711,548,2536,561,5,0.703,0.348,5.66
SKU-01144,508,500,596,3745,1110,19,0.808,0.206,1.91
SKU-01145,120,133,112,2011,516,18,0.839,0.38,8.44
SKU-01146,1266,1042,1103,4093,1015,5,0.705,0.335,5.43
SKU-01147,417,443,403,3263,663,53,0.717,0.128,11.39
SKU-01148,561,599,788,3643,453,43,0.855,0.328,7.28
SKU-01149,1347,1494,1314,940,545,45,0.8,0.214,8.29
SKU-01150,583,591,701,69,936,46,0.703,0.421,10.83
SKU-01151,1147,824,1104,3311,619,30,0.942,0.313,8.95
SKU-01152,1503,1940,1515,3844,368,22,0.793,0.088,9.72
SKU-01153,971,1091,981,2933,367,58,0.658,0.108,1.1
SKU-01154,1292,1308,1183,2562,328,35,0.771,0.347,3.27
SKU-01155,1539,1725,1498,3972,797,23,0.959,0.272,7.59
SKU-01156,1477,1611,1571,3454,972,25,0.663,0.035,1.28
SKU-01157,1350,1335,1520,3402,688,57,0.97,0.031,5.26
SKU-01158,1065,1462,954,1831,374,47,0.975,0.182,3.37
SKU-01159,1816,1555,1628,4372,261,16,0.668,0.342,3.12
SKU-01160,1126,1209,1112,2362,431,15,0.668,0.194,1.26
SKU-01161,251,178,456,2489,659,14,0.733,0.449,7.09
SKU-01162,140,122,188,3580,1086,38,0.691,0.185,2.35
SKU-01163,1361,1190,1361,1757,592,55,0.73,0.155,12.04
SKU-01164,939,583,1046,3484,1150,24,0.717,0.356,13.11
SKU-01165,186,191,154,2112,150,29,0.877,0.262,10.23
SKU-01166,1772,1688,1899,277,599,44,0.88,0.327,2.59
SKU-01167,1723,2011,1852,3580,263,11,0.733,0.069,4.61
SKU-01168,1312,1298,1451,4668,298,10,0.912,0.23,14.55
SKU-01169,1105,1343,1343,1441,915,48,0.728,0.345,2.35
SKU-01170,1981,1552,1824,3809,553,12,0.926,0.051,3.9
SKU-01171,863,855,639,3661,173,36,0.696,0.309,14.26
SKU-01172,1726,1462,1751,2723,101,21,0.886,0.039,2.4
SKU-01173,1308,1177,1208,2374,223,46,0.818,0.047,6.13
SKU-01174,780,257,1247,2757,490,56,0.696,0.302,11.57
SKU-01175,1003,1050,715,599,163,58,0.688,0.161,7.27
SKU-01176,1960,1757,1559,1852,416,59,0.653,0.11,7.91
SKU-01177,1623,1532,1643,2375,721,13,0.883,0.074,0.84
SKU-01178,2291,2981,1980,2790,362,42,0.732,0.022,1.36
SKU-01179,841,857,846,2074,394,40,0.928,0.265,9.57
SKU-01180,432,222,445,4874,603,49,0.928,0.153,10.12
SKU-01181,1279,1325,1040,2618,1031,40,0.815,0.243,7.75
SKU-01182,1014,1233,1313,4482,776,25,0.942,0.07,6.12
SKU-01183,815,652,734,4130,468,5,0.849,0.053,8.93
SKU-01184,1596,2016,1802,449,275,28,0.783,0.252,7.02
SKU-01185,1863,1781,1798,3725,233,44,0.766,0.402,3.3
SKU-01186,1150,927,1270,2635,659,57,0.751,0.234,10.67
SKU-01187,1668,2307,1691,3172,354,17,0.782,0.395,8.21
SKU-01188,1628,1891,1806,4387,275,15,0.952,0.324,0.65
SKU-01189,1010,1075,964,3097,1139,58,0.837,0.051,2.91
SKU-01190,297,366,334,4764,517,43,0.845,0.368,12.67
SKU-01191,703,719,679,1462,569,45,0.83,0.359,12.43
SKU-01192,366,349,339,4261,832,6,0.661,0.147,13.53
SKU-01193,1609,1658,1744,694,158,41,0.957,0.368,12.54
SKU-01194,964,924,836,4836,1013,16,0.853,0.432,11.96
SKU-01195,1184,1379,1093,1716,1098,34,0.729,0.344,12.62
SKU-01196,1170,1055,1051,909,909,14,0.703,0.375,13.96
SKU-01197,1343,913,1838,3924,375,11,0.872,0.159,2.31
SKU-01198,619,583,638,1394,159,45,0.731,0.337,2.09
SKU-01199,1215,1267,1148,3826,759,43,0.969,0.249,7.88
SKU-01200,1026,1376,993,4540,734,27,0.694,0.361,11.25
SKU-01201,1520,1185,1887,323,1019,43,0.807,0.338,14.36
SKU-01202,1036,1023,1108,487,58,58,0.876,0.078,1.82
SKU-01203,1417,1327,1716,3006,190,52,0.939,0.032,12.49
SKU-01204,2186,2630,1975,4998,756,58,0.834,0.377,11.04
SKU-01205,1391,958,1642,4860,545,8,0.926,0.058,6.42
SKU-01206,1973,1711,1747,2041,1030,54,0.813,0.047,1.12
SKU-01207,758,766,728,3428,910,7,0.914,0.393,10.35
SKU-01208,247,186,304,2043,1164,27,0.874,0.423,10.0
SKU-01209,1526,1421,1340,3062,199,59,0.859,0.043,4.55
SKU-01210,524,549,622,463,988,59,0.751,0.162,2.35
SKU-01211,851,748,1013,3873,883,5,0.859,0.295,14.21
SKU-01212,1551,1205,1383,596,538,45,0.985,0.162,4.72
SKU-01213,410,366,403,3803,1076,35,0.731,0.37,9.7
SKU-01214,1777,1357,1641,1047,219,35,0.872,0.067,12.8
SKU-01215,1717,1464,1616,1373,877,35,0.687,0.044,7.07
SKU-01216,773,721,1005,3974,879,54,0.725,0.054,8.11
SKU-01217,1620,1884,1363,825,712,32,0.959,0.423,8.26
SKU-01218,944,876,1117,2805,861,11,0.822,0.027,1.51
SKU-01219,1178,1087,1122,2262,750,30,0.918,0.083,8.84
SKU-01220,1635,2331,1416,701,178,44,0.738,0.084,4.69
SKU-01221,340,369,457,4746,991,12,0.912,0.351,7.05
SKU-01222,299,310,263,3636,909,6,0.952,0.262,6.3
SKU-01223,1789,1569,1839,189,651,58,0.902,0.358,2.36
SKU-01224,585,924,732,600,96,34,0.702,0.247,3.62
SKU-01225,614,677,759,2551,215,39,0.714,0.151,14.69
SKU-01226,1933,1830,1957,3451,52,55,0.675,0.113,2.21
SKU-01227,566,512,506,3070,1160,30,0.799,0.396,1.89
SKU-01228,1395,1684,1416,3451,893,35,0.728,0.285,10.52
SKU-01229,391,447,533,3548,794,44,0.874,0.398,12.05
SKU-01230,1181,341,1507,4714,455,19,0.72,0.317,7.82
SKU-01231,858,1101,843,1962,921,42,0.953,0.11,6.59
SKU-01232,623,639,811,2360,67,23,0.926,0.322,8.7
SKU-01233,2036,1461,1942,1698,190,33,0.956,0.069,5.14
SKU-01234,726,758,859,2728,869,49,0.918,0.244,6.83
SKU-01235,1471,2034,1290,2824,698,58,0.822,0.195,6.71
SKU-01236,773,821,737,454,921,52,0.677,0.123,0.92
SKU-01237,782,663,826,695,1071,19,0.733,0.439,14.95
SKU-01238,315,227,298,3541,203,47,0.876,0.247,6.59
SKU-01239,1427,1637,1438,1245,820,56,0.691,0.449,4.73
SKU-01240,964,925,1398,4314,349,11,0.904,0.243,6.84
SKU-01241,177,143,211,2904,633,23,0.949,0.314,8.85
SKU-01242,1032,919,896,730,804,19,0.664,0.045,3.91
SKU-01243,1199,1054,1267,4776,102,58,0.924,0.372,12.88
SKU-01244,114,95,138,778,433,46,0.697,0.337,12.07
SKU-01245,1557,1020,1395,612,1101,41,0.988,0.113,3.05
SKU-01246,234,293,296,3806,80,37,0.709,0.245,7.08
SKU-01247,1125,1132,972,481,838,11,0.836,0.109,3.94
SKU-01248,1276,1407,1093,438,946,23,0.758,0.247,8.53
SKU-01249,948,1004,914,3137,1147,44,0.971,0.099,8.64
SKU-01250,1358,1254,1358,1434,965,46,0.989,0.127,9.75
SKU-01251,2192,2318,1816,2820,860,30,0.714,0.219,4.45
SKU-01252,194,207,208,4838,718,30,0.715,0.368,9.76
SKU-01253,1970,2007,1957,3522,1101,45,0.709,0.109,2.58
SKU-01254,738,736,913,2473,54,48,0.909,0.132,0.6
SKU-01255,1504,1543,1787,1127,504,13,0.963,0.428,5.61
SKU-01256,1618,2068,1613,261,280,9,0.921,0.149,8.77
SKU-01257,499,667,453,1207,453,32,0.789,0.287,12.87
SKU-01258,199,213,187,1483,729,29,0.851,0.275,3.2
SKU-01259,2091,2410,1626,3807,240,30,0.924,0.032,1.97
SKU-01260,1337,991,1453,607,449,49,0.856,0.14,7.29
SKU-01261,1090,904,1159,1530,320,16,0.704,0.238,12.32
SKU-01262,603,540,676,2702,1043,59,0.653,0.087,13.5
SKU-01263,532,545,558,503,680,6,0.889,0.203,6.33
SKU-01264,1757,2062,1866,2216,992,25,0.853,0.078,2.85
SKU-01265,284,232,288,349,960,37,0.658,0.427,6.43
SKU-01266,1437,1277,1406,4090,144,22,0.735,0.072,7.7
SKU-01267,647,493,652,1370,368,13,0.751,0.419,12.77
SKU-01268,899,903,927,4457,938,51,0.909,0.361,2.38
SKU-01269,1085,1058,1183,1062,988,43,0.793,0.433,12.61
SKU-01270,710,796,615,1070,628,6,0.792,0.432,10.78
SKU-01271,2023,2282,1905,2664,75,30,0.696,0.299,7.49
SKU-01272,1568,1208,1603,310,98,34,0.671,0.345,4.96
SKU-01273,919,875,1166,394,435,22,0.74,0.09,13.86
SKU-01274,894,879,737,594,886,59,0.817,0.123,11.59
SKU-01275,154,161,141,4121,1105,36,0.68,0.073,9.37
SKU-01276,1520,1277,1405,4194,1001,20,0.818,0.095,1.67
SKU-01277,1512,1545,1562,3527,1163,37,0.774,0.214,9.21
SKU-01278,252,229,279,1754,112,8,0.834,0.436,12.18
SKU-01279,1826,1652,1924,2780,802,23,0.655,0.316,12.95
SKU-01280,1259,1322,1562,1264,248,32,0.804,0.286,3.77
SKU-01281,1001,980,1049,104,1026,40,0.944,0.154,13.16
SKU-01282,2012,2096,1746,1878,762,7,0.744,0.063,0.57
SKU-01283,1559,1067,1730,4389,549,20,0.677,0.03,11.12
SKU-01284,1220,900,1562,4631,1180,51,0.674,0.247,9.9
SKU-01285,217,218,200,1670,102,10,0.928,0.116,11.31
SKU-01286,599,566,565,2780,459,22,0.902,0.118,11.18
SKU-01287,794,765,978,3597,850,55,0.937,0.231,2.19
SKU-01288,1920,2145,1993,779,1178,46,0.894,0.049,0.82
SKU-01289,1485,1413,1842,197,1056,5,0.97,0.204,7.82
SKU-01290,475,240,498,638,329,34,0.886,0.186,9.32
SKU-01291,1375,1712,1493,2021,960,15,0.738,0.226,3.84
SKU-01292,827,855,723,4267,135,35,0.759,0.365,7.05
SKU-01293,460,463,444,4901,580,55,0.735,0.122,8.39
SKU-01294,1548,1404,1206,2302,823,19,0.744,0.181,13.3
SKU-01295,1292,1237,1277,693,733,58,0.831,0.038,14.23
SKU-01296,1047,588,1212,3514,138,29,0.671,0.432,1.49
SKU-01297,1935,2324,1903,4503,474,15,0.919,0.306,9.25
SKU-01298,1974,1404,1901,1984,977,53,0.866,0.254,8.21
SKU-01299,1804,2121,1655,1089,447,31,0.912,0.169,3.73
SKU-01300,468,584,516,1771,589,11,0.705,0.163,9.29
SKU-01301,1568,1933,1635,4686,930,52,0.962,0.355,6.28
SKU-01302,724,499,675,3487,362,14,0.844,0.098,7.16
SKU-01303,953,705,987,3919,789,7,0.691,0.207,8.57
SKU-01304,1587,1184,1565,4771,670,57,0.809,0.235,10.57
SKU-01305,1194,1163,1005,1913,814,43,0.761,0.269,14.83
SKU-01306,1152,787,1258,837,664,26,0.917,0.062,11.53
SKU-01307,324,370,282,4888,1106,18,0.733,0.448,14.96
SKU-01308,1824,1723,1402,4641,657,36,0.919,0.042,14.41
SKU-01309,373,377,393,2528,652,57,0.932,0.042,5.31
SKU-01310,1551,1242,1737,4776,1018,25,0.814,0.308,7.27
SKU-01311,782,846,761,3952,474,5,0.725,0.447,12.08
SKU-01312,2034,1749,1883,2614,706,14,0.732,0.084,7.25
SKU-01313,955,925,1017,2259,706,24,0.669,0.174,10.16
SKU-01314,461,523,715,4130,1163,49,0.982,0.434,6.5
SKU-01315,522,498,579,4520,254,11,0.924,0.37,5.12
SKU-01316,1173,1114,969,2252,140,7,0.693,0.104,4.95
SKU-01317,133,124,150,4704,972,42,0.824,0.358,3.34
SKU-01318,144,156,125,1308,726,16,0.964,0.34,9.56
SKU-01319,1950,2134,1485,93,256,9,0.921,0.285,5.99
SKU-01320,1903,1957,1840,4184,285,19,0.898,0.106,6.89
SKU-01321,1131,803,1094,3339,1080,19,0.977,0.175,6.34
SKU-01322,1621,1901,1741,4730,439,44,0.879,0.114,6.37
SKU-01323,962,857,1157,4084,880,19,0.786,0.351,6.28
SKU-01324,146,153,150,1911,720,37,0.707,0.445,8.78
SKU-01325,2019,2676,1522,1730,830,59,0.857,0.294,1.83
SKU-01326,1418,1579,1731,22,965,55,0.954,0.411,4.26
SKU-01327,1088,1127,1009,22,481,43,0.898,0.032,10.88
SKU-01328,1668,2037,1820,478,198,40,0.833,0.325,4.21
SKU-01329,1386,1619,1076,4728,821,37,0.664,0.24,2.66
SKU-01330,734,511,839,4560,1162,51,0.906,0.221,5.59
SKU-01331,637,611,728,83,639,32,0.805,0.352,4.51
SKU-01332,2345,2763,1926,806,1175,4,0.825,0.13,10.24
SKU-01333,1245,529,1654,4973,199,10,0.982,0.172,8.61
SKU-01334,701,704,859,1552,1179,16,0.778,0.24,10.69
SKU-01335,436,343,514,3280,878,31,0.974,0.363,2.41
SKU-01336,1889,1710,1804,4613,1013,29,0.813,0.068,3.46
SKU-01337,642,679,594,2055,628,25,0.85,0.23,7.5
SKU-01338,1139,980,1057,622,967,51,0.967,0.318,1.8
SKU-01339,1308,1686,1154,1502,251,18,0.89,0.379,7.03
SKU-01340,1521,1396,1683,3704,1064,37,0.69,0.078,4.13
SKU-01341,2160,1893,1962,2102,576,18,0.855,0.349,14.03
SKU-01342,1767,2122,1980,1118,152,57,0.803,0.301,5.47
SKU-01343,388,356,470,3220,1098,39,0.777,0.096,1.71
SKU-01344,748,608,708,4112,832,46,0.859,0.403,0.59
SKU-01345,674,1058,677,2260,76,11,0.916,0.056,6.45
SKU-01346,87,73,98,1484,139,39,0.665,0.236,7.78
SKU-01347,1576,1670,1642,2194,1043,22,0.757,0.287,13.56
SKU-01348,498,448,508,4121,1096,40,0.732,0.319,2.72
SKU-01349,1668,1625,1949,1406,78,27,0.986,0.385,12.96
SKU-01350,1553,1363,1452,306,563,9,0.79,0.032,4.3
SKU-01351,1320,1698,1366,888,762,12,0.834,0.286,1.83
SKU-01352,285,219,290,672,234,16,0.828,0.386,13.24
SKU-01353,564,90,976,4190,428,39,0.834,0.382,14.63
SKU-01354,1909,2053,1709,2976,534,21,0.97,0.043,1.31
SKU-01355,1616,2136,1693,567,756,18,0.744,0.13,9.57
SKU-01356,424,428,361,3047,1051,3,0.915,0.169,10.22
SKU-01357,1416,1142,1278,2230,353,19,0.821,0.311,11.11
SKU-01358,279,279,387,1086,124,47,0.805,0.234,5.69
SKU-01359,2124,2761,1937,4439,815,42,0.974,0.278,13.63
SKU-01360,1288,1139,1267,1788,1141,12,0.92,0.203,11.25
SKU-01361,1273,1562,1302,4068,963,25,0.664,0.238,5.81
SKU-01362,542,512,615,2713,650,54,0.831,0.32,2.33
SKU-01363,1442,1682,1323,2564,1051,13,0.937,0.227,3.65
SKU-01364,239,231,246,3479,764,51,0.831,0.072,11.95
SKU-01365,2368,2487,1715,3584,567,45,0.838,0.331,7.15
SKU-01366,1926,2154,1730,1778,541,51,0.876,0.088,0.84
SKU-01367,500,507,507,169,366,56,0.747,0.075,6.44
SKU-01368,783,1080,822,339,329,21,0.82,0.43,5.76
SKU-01369,622,810,786,3137,509,50,0.985,0.123,2.57
SKU-01370,359,411,385,467,565,37,0.767,0.058,11.34
SKU-01371,1556,1230,1245,3476,130,32,0.768,0.266,3.85
SKU-01372,569,535,508,3647,624,8,0.907,0.333,13.69
SKU-01373,1472,1600,1426,615,1117,6,0.834,0.372,13.65
SKU-01374,790,687,744,554,739,55,0.937,0.449,12.29
SKU-01375,1466,1231,1656,2312,709,54,0.961,0.228,6.32
SKU-01376,685,578,595,4850,1147,38,0.93,0.397,8.48
SKU-01377,1469,1822,1538,2243,415,13,0.734,0.214,4.63
SKU-01378,363,339,339,3593,834,32,0.897,0.176,9.2
SKU-01379,1138,1138,1422,3999,268,16,0.776,0.151,11.93
SKU-01380,1913,1907,1834,3485,230,32,0.809,0.367,7.95
SKU-01381,371,421,376,998,438,32,0.727,0.376,7.39
SKU-01382,1335,922,1608,3591,1047,10,0.729,0.449,5.76
SKU-01383,1447,1791,1503,3483,423,50,0.929,0.084,1.58
SKU-01384,1404,1961,1417,1449,720,53,0.866,0.179,6.53
SKU-01385,1132,946,1120,1650,206,41,0.923,0.381,8.32
SKU-01386,2098,2223,1762,4737,585,13,0.663,0.348,14.23
SKU-01387,1429,1749,1749,4557,1067,15,0.72,0.052,14.62
SKU-01388,1319,1353,946,637,1182,17,0.75,0.199,5.14
SKU-01389,1286,1245,1496,652,207,15,0.802,0.424,1.33
SKU-01390,1342,1337,1273,3317,902,24,0.896,0.115,4.98
SKU-01391,1487,1166,1435,116,554,19,0.757,0.43,7.97
SKU-01392,1194,1061,894,167,1006,17,0.749,0.258,4.0
SKU-01393,1234,1243,1225,1414,1143,24,0.705,0.23,3.95
SKU-01394,1389,1710,1373,1720,388,18,0.705,0.324,4.89
SKU-01395,970,1127,892,3287,395,50,0.828,0.287,8.46
SKU-01396,1372,1586,1661,2507,367,32,0.969,0.39,7.47
SKU-01397,429,554,614,2294,932,7,0.74,0.102,11.01
SKU-01398,1193,1377,1169,2277,172,59,0.963,0.265,14.19
SKU-01399,608,497,580,189,615,16,0.74,0.439,1.67
SKU-01400,957,1486,1074,238,412,7,0.73,0.328,1.7
SKU-01401,799,917,556,139,912,40,0.752,0.297,13.21
SKU-01402,506,475,517,4622,1187,10,0.811,0.104,0.76
SKU-01403,722,832,1339,259,472,29,0.666,0.314,4.93
SKU-01404,1628,1689,1436,3541,1053,13,0.906,0.104,11.59
SKU-01405,1251,1343,1354,4207,864,7,0.767,0.328,1.62
SKU-01406,1180,1227,1006,2459,61,37,0.706,0.288,14.37
SKU-01407,1169,1385,1124,4062,1042,18,0.655,0.443,6.89
SKU-01408,984,974,1206,700,372,50,0.715,0.081,1.33
SKU-01409,1148,1199,1193,1146,952,16,0.822,0.137,4.31
SKU-01410,521,646,675,1889,859,59,0.977,0.387,13.01
SKU-01411,490,473,534,971,310,32,0.823,0.173,0.86
SKU-01412,1128,1591,1306,4650,584,57,0.708,0.022,9.11
SKU-01413,418,530,452,4492,957,13,0.786,0.153,14.49
SKU-01414,820,874,942,1819,144,20,0.928,0.261,12.24
SKU-01415,1634,1623,1699,4172,484,45,0.895,0.109,7.13
SKU-01416,1356,1459,1419,3247,1169,54,0.774,0.328,14.17
SKU-01417,1046,784,1335,11,1191,24,0.898,0.041,8.78
SKU-01418,1504,1433,1297,4238,808,57,0.693,0.119,6.23
SKU-01419,156,156,181,136,530,27,0.879,0.088,12.4
SKU-01420,1091,281,1404,3145,553,33,0.658,0.238,12.77
SKU-01421,1515,929,1821,4469,742,5,0.885,0.115,3.18
SKU-01422,1353,1580,1322,4089,773,12,0.877,0.338,1.45
SKU-01423,1028,1405,1265,1879,461,17,0.944,0.231,10.88
SKU-01424,1769,1462,1407,1579,989,22,0.726,0.439,13.36
SKU-01425,1136,1169,1103,2864,166,6,0.705,0.303,13.33
SKU-01426,792,747,530,2342,895,40,0.942,0.449,5.67
SKU-01427,951,1180,1021,2752,633,24,0.897,0.279,14.44
SKU-01428,350,234,331,2946,327,53,0.846,0.034,7.92
SKU-01429,1728,926,1868,2341,660,23,0.772,0.295,12.49
SKU-01430,453,331,396,181,326,26,0.791,0.057,11.77
SKU-01431,208,212,192,4546,208,30,0.888,0.336,12.65
SKU-01432,1447,1348,1495,1021,161,54,0.881,0.083,13.41
SKU-01433,428,404,533,1774,84,43,0.972,0.135,12.99
SKU-01434,1690,2261,1877,3726,1134,5,0.765,0.215,1.41
SKU-01435,357,287,325,4081,850,33,0.913,0.417,2.75
SKU-01436,356,417,476,1064,739,45,0.791,0.25,12.46
SKU-01437,1130,1444,1183,2348,629,57,0.795,0.078,11.06
SKU-01438,388,318,284,2888,302,43,0.907,0.091,9.63
SKU-01439,427,603,427,835,1030,45,0.675,0.171,12.8
SKU-01440,914,1032,847,772,720,33,0.795,0.028,9.91
SKU-01441,93,82,80,3557,439,47,0.756,0.186,4.45
SKU-01442,1672,1697,1637,1464,539,38,0.671,0.317,13.75
SKU-01443,417,323,482,3106,141,41,0.83,0.054,3.97
SKU-01444,267,233,249,3399,381,36,0.913,0.347,4.87
SKU-01445,1559,1463,1363,1153,478,54,0.713,0.436,12.22
SKU-01446,709,677,555,3193,638,58,0.933,0.078,6.87
SKU-01447,1717,2123,1883,3805,335,28,0.922,0.057,5.16
SKU-01448,1364,1398,1282,2070,955,20,0.908,0.252,5.2
SKU-01449,253,236,286,3299,633,8,0.896,0.399,12.18
SKU-01450,588,522,701,2168,1123,29,0.961,0.13,5.36
